,Label,candidate,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question
73,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
74,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
75,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
76,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
77,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
78,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
79,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
80,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
81,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
82,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
83,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
84,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
85,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
86,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
87,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
88,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
89,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
90,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
91,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
92,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
93,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
94,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
95,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
96,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
97,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
98,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
99,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
100,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
101,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
102,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
103,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
104,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
105,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
